,atomic_number,atomic_weight,density,phase,melting_point,boiling_point,critical_temperature,critical_pressure,heat_of_fusion,heat_of_vaporization,specific_heat,adiabatic_index,neel_point,thermal_conductivity,thermal_expansion,density__liquid,molar_volume,brinell_hardness,mohs_hardness,vickers_hardness,bulk_modulus,shear_modulus,young_modulus,poisson_ratio,refractive_index,speed_sound,valence,electronegativity,electron_affinity,color,electrical_conductivity,electrical_resistivity,superconducting_point,curie_point,volume_magnetic_susceptibility,atomic_radius,covalent_radius,van_der_waals_radius,lattice_constants__1,lattice_constants__2,lattice_constants__3,decay_mode,neutron_cross_section,neutron_mass_absorption,isotopic_abundances
59,59,140.90766,6.64,Solid,1204.15,3563.15,,,6.9,330.0,193.0,,,13.0,6.7e-06,6.5,2.1221e-05,481.0,1.41,400.0,29.0,15.0,37.0,0.28,,2280.0,4.0,1.13,50.0,Silver,1400000.0,7e-07,,,0.0028087,247.0,203.0,,367.25, 367.25, 1183.54,N/A,11.4,0.0029,1
60,60,144.242,7.01,Solid,1294.15,3373.15,,,7.1,285.0,190.0,,19.2,17.0,9.6e-06,6.89,2.0577e-05,265.0,1.23,343.0,32.0,16.0,41.0,0.28,,2330.0,3.0,1.14,50.0,Silver,1600000.0,6.4e-07,,,0.0033648,206.0,201.0,,365.8, 365.8, 1179.9,N/A,49.0,0.011,7
61,61,145.0,7.264,Solid,1373.15,3273.15,,,7.7,290.0,,,,15.0,1.1e-05,,1.996145374449e-05,,,,33.0,18.0,46.0,0.28,,,3.0,,50.0,Silver,1300000.0,7.5e-07,,,,205.0,199.0,,,,,ElectronCapture,8400.0,,0
62,62,150.36,7.353,Solid,1345.15,2076.15,,,8.5,175.0,196.0,,106.0,13.0,1.27e-05,7.16,2.0449e-05,441.0,1.44,412.0,38.0,20.0,50.0,0.27,,2130.0,3.0,1.17,50.0,Silver,1100000.0,9.4e-07,,,0.00081618,238.0,198.0,,362.1, 362.1, 2625,N/A,5900.0,4.7,7
63,63,151.964,5.244,Solid,1095.15,1800.15,,,9.3,175.0,182.0,,90.5,14.0,3.5e-05,5.13,2.8979e-05,,3.07,167.0,8.3,7.9,18.0,0.15,,,3.0,,50.0,Silver,1100000.0,9e-07,1.8,,0.0014473,231.0,198.0,,458.1, 458.1, 458.1,N/A,4570.0,0.6,2
64,64,157.25,7.901,Solid,1586.15,3523.15,,,10.0,305.0,240.0,,,11.0,9.4e-06,7.4,1.9903e-05,,5.13,570.0,38.0,22.0,55.0,0.26,,2680.0,3.0,1.2,50.0,Silver,770000.0,1.3e-06,,292.0,,233.0,196.0,,363.6, 363.6, 578.26,N/A,49000.0,7.3,7
65,65,158.92535,8.219,Solid,1629.15,3503.15,,,10.8,295.0,182.0,,230.0,11.0,1.03e-05,7.65,1.9336e-05,677.0,2.33,863.0,38.7,22.0,56.0,0.26,,2620.0,3.0,,50.0,Silver,830000.0,1.2e-06,,222.0,0.1117784,225.0,194.0,,360.1, 360.1, 569.36,N/A,23.0,0.009,1
66,66,162.5,8.551,Solid,1685.15,2840.15,,,11.1,280.0,167.0,,178.0,11.0,1e-05,8.37,1.9004e-05,500.0,1.8,540.0,41.0,25.0,61.0,0.25,,2710.0,3.0,1.22,50.0,Silver,1100000.0,9.1e-07,,87.0,0.046603,228.0,192.0,,359.3, 359.3, 565.37,N/A,950.0,0.2,7
67,67,164.93033,8.795,Solid,1747.15,2973.15,,,17.0,265.0,165.0,,132.0,16.0,1.12e-05,8.34,1.8753e-05,746.0,1.65,481.0,40.0,26.0,64.0,0.23,,2760.0,3.0,1.23,50.0,Silver,1100000.0,9.4e-07,,20.0,0.0482845,226.0,192.0,,357.73, 357.73, 561.58,N/A,64.0,0.015,1
68,68,167.259,9.066,Solid,1770.15,3141.15,,,19.9,285.0,168.0,,82.0,15.0,1.22e-05,8.86,1.8449e-05,814.0,1.97,588.0,44.0,28.0,70.0,0.24,,2830.0,3.0,1.24,50.0,Silver,1200000.0,8.599999999999999e-07,,32.0,0.0341788,226.0,189.0,,355.88, 355.88, 558.74,N/A,165.0,0.036,6
69,69,168.93422,9.32,Solid,1818.15,2223.15,,,16.8,250.0,160.0,,56.0,17.0,1.33e-05,8.56,1.8126e-05,471.0,1.77,520.0,45.0,31.0,74.0,0.21,,,3.0,1.25,50.0,Silver,1400000.0,7e-07,,25.0,0.0185488,222.0,190.0,,353.75, 353.75, 555.46,N/A,105.0,0.025,1
70,70,173.045,6.57,Solid,1092.15,1469.15,,,7.7,160.0,154.0,,,39.0,2.63e-05,6.21,2.6339e-05,343.0,,206.0,31.0,10.0,24.0,0.21,,1590.0,3.0,,50.0,Silver,3600000.0,2.7999999999999997e-07,,,3.88e-05,222.0,187.0,,548.47, 548.47, 548.47,N/A,35.0,0.0076,7
71,71,174.9668,9.841,Solid,1936.15,3675.15,,,22.0,415.0,154.0,,,16.0,1e-05,9.3,1.7779e-05,893.0,2.6,1160.0,48.0,27.0,67.0,0.26,,,3.0,1.27,50.0,Silver,1800000.0,5.699999999999999e-07,0.1,,1.18e-05,217.0,187.0,,350.31, 350.31, 555.09,N/A,85.0,0.022,2
72,72,178.49,13.31,Solid,2506.15,4876.15,,,25.5,630.0,144.0,,,23.0,5.9e-06,12.0,1.34102e-05,1700.0,5.5,1760.0,110.0,30.0,78.0,0.37,,3010.0,4.0,1.3,0.0,Gray,3300000.0,3e-07,0.128,,7.05e-05,208.0,175.0,,319.64, 319.64, 505.11,N/A,104.0,0.02,6
73,73,180.94788,16.65,Solid,3290.15,5731.15,,,36.0,736.0,140.0,,,57.0,6.3e-06,15.0,1.08677e-05,800.0,6.5,873.0,200.0,67.0,186.0,0.34,,3400.0,5.0,1.5,31.0,Gray,7700000.0,1.3e-07,4.47,,0.0001782,200.0,170.0,,330.13, 330.13, 330.13,N/A,20.5,0.0041,1
74,74,183.84,19.25,Solid,3695.15,5828.15,,,35.0,800.0,132.0,,,170.0,4.5e-06,17.6,9.5501e-06,2570.0,7.5,3430.0,310.0,161.0,411.0,0.28,,5174.0,6.0,2.36,78.6,Gray,20000000.0,4.999999999997e-08,0.015,,8.84e-05,193.0,162.0,,316.52, 316.52, 316.52,N/A,18.4,0.0036,5
75,75,186.207,21.02,Solid,3459.15,5869.15,,,33.0,705.0,137.0,,,48.0,6.2e-06,18.9,8.85856e-06,1320.0,7.0,2450.0,370.0,178.0,463.0,0.3,,4700.0,7.0,1.9,14.5,Gray,5600000.0,1.8e-07,1.7,,9.59e-05,188.0,151.0,,276.1, 276.1, 445.6,N/A,90.0,0.016,2
76,76,190.23,22.59,Solid,3306.15,5285.15,,,31.0,630.0,130.0,,,87.0,5.0999999999999995e-06,20.0,8.421e-06,3920.0,7.0,4137.063913415,,222.0,,0.25,,4940.0,6.0,2.2,106.1,SlateGray,12000000.0,8.000000000001001e-08,0.66,,1.4e-05,185.0,144.0,,273.44, 273.44, 431.73,N/A,15.0,0.0023,7
77,77,192.217,22.56,Solid,2739.15,4701.15,,,26.0,560.0,131.0,,,150.0,6.4e-06,19.0,8.5203e-06,1670.0,6.5,1760.0,320.0,210.0,528.0,0.26,,4825.0,6.0,2.2,151.0,Silver,21000000.0,4.699999999998e-08,0.11,,3.77e-05,180.0,141.0,,383.9, 383.9, 383.9,N/A,425.0,0.081,2
78,78,195.084,21.45,Solid,2041.4499999999998,4098.15,,,20.0,490.0,133.0,,,71.0,8.9e-06,19.77,9.0948e-06,392.0,3.5,549.0,230.0,61.0,168.0,0.38,,2680.0,6.0,2.28,205.3,Gray,9400000.0,1.1e-07,,,0.0002573,177.0,136.0,175.0,392.42, 392.42, 392.42,N/A,10.0,0.002,6
79,79,196.966569,19.3,Solid,1337.33,3129.15,,,12.5,330.0,129.1,,,320.0,1.42e-05,17.31,1.021e-05,2450.0,2.5,216.0,220.0,27.0,78.0,0.44,,1740.0,5.0,2.54,222.8,Gold,45000000.0,2.2000000000000002e-08,,,-3.44e-05,174.0,136.0,166.0,407.82, 407.82, 407.82,N/A,98.7,0.017,1
80,80,200.592,13.534,Liquid,234.32,629.88,1750.0,172.0,2.29,59.2,139.5,,,8.3,0.000181,13.534,1.48213e-05,,,,25.0,,,,1.000933,1407.0,2.0,2.0,0.0,Silver,1000000.0,9.6e-07,4.154,,-2.84e-05,171.0,132.0,155.0,300.5, 300.5, 300.5,N/A,374.0,0.063,7
81,81,204.38,11.85,Solid,577.15,1746.15,,,4.2,165.0,129.0,,,46.0,2.99e-05,11.22,1.72473e-05,26.4,1.2,,43.0,2.8,8.0,0.45,,818.0,3.0,1.62,19.2,Silver,6700000.0,1.5e-07,2.38,,-3.56e-05,156.0,145.0,196.0,345.66, 345.66, 552.48,N/A,3.4,0.00059,2
82,82,207.2,11.34,Solid,600.6099999999999,2022.15,,,4.77,178.0,127.0,,,35.0,2.89e-05,10.66,1.8272e-05,38.3,1.5,,46.0,5.6,16.0,0.44,,1260.0,4.0,2.33,35.1,SlateGray,4800000.0,2.1e-07,7.2,,-1.7e-05,154.0,146.0,202.0,495.08, 495.08, 495.08,N/A,0.171,3e-05,4
83,83,208.9804,9.78,Solid,544.45,1837.15,,,10.9,160.0,122.0,,,8.0,1.34e-05,10.05,2.1368e-05,94.2,2.25,,31.0,12.0,32.0,0.33,,1790.0,5.0,2.02,91.2,Gray,770000.0,1.3e-06,,,-0.00017,143.0,148.0,,667.4, 611.7, 330.4,AlphaEmission,0.034,6e-06,1
